Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Tkl,TklW,DTkl,DTklAtt,Tkl%,Blocks,Int,Clr,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA
Diego Llorente,ESP,DF,Roma,Serie A,29,1993,29,27,2170,24.1,1,1,2,1,0,0,5,0,0.3,0.3,0.6,0.9,0.04,0.04,0.08,0.01,0.02,0.04,0.01,0.04,31,19,11,24,45.8,40,22,79,1501,1648,91.1,28395,9300,0.4,4,71,1
Diego Rico,ESP,DF,Getafe,La Liga,30,1993,32,28,2535,28.2,0,7,7,0,0,0,10,0,0.3,0.3,3.8,4.1,0.0,0.25,0.25,0.01,0.14,0.15,0.01,0.15,64,48,41,76,53.9,25,41,76,993,1495,66.4,17450,8646,3.2,39,106,40
Dimitri Foulquier,FRA,"DF,MF",Valencia,La Liga,30,1993,33,19,1842,20.5,0,0,0,0,0,0,3,0,0.6,0.6,1.2,1.8,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,39,22,18,26,69.2,10,16,49,766,1042,73.5,11858,4675,-1.2,14,47,14
Diogo Dalot,POR,DF,Manchester Utd,Premier League,24,1999,36,35,3174,35.3,2,3,5,2,0,0,6,1,1.7,1.7,2.9,4.6,0.06,0.09,0.14,0.05,0.08,0.13,0.05,0.13,81,51,51,74,68.9,44,37,111,1486,1830,81.2,24927,8066,0.1,37,107,31
Diogo Leite,POR,DF,Union Berlin,Bundesliga,24,1999,32,31,2702,30.0,0,0,0,0,0,0,6,0,0.8,0.8,0.2,1.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,52,36,25,51,49.0,48,47,155,1263,1581,79.9,23047,9175,-0.2,6,113,3
Djed Spence,ENG,DF,Genoa,Serie A,22,2000,16,8,859,9.5,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.4,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,16,10,8,10,80.0,20,8,28,272,342,79.5,4216,1253,-0.3,6,17,9
Djené,TOG,"DF,MF",Getafe,La Liga,31,1991,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.1,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,34,19,15,26,57.7,31,23,70,861,1121,76.8,15810,5814,-0.3,7,64,11
Dodô,BRA,DF,Fiorentina,Serie A,24,1998,9,7,523,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,0.0,0.0,0.0,0.01,0.13,0.15,0.01,0.15,5,3,2,5,40.0,2,5,11,278,347,80.1,5196,1670,-0.8,10,25,9
Domagoj Bradarić,CRO,DF,Salernitana,Serie A,23,1999,34,30,2749,30.5,0,3,3,0,0,0,5,0,0.8,0.8,1.8,2.6,0.0,0.1,0.1,0.03,0.06,0.08,0.03,0.08,29,20,15,25,60.0,22,32,62,1184,1536,77.1,18474,5884,1.2,36,54,18
Domingos Duarte,POR,DF,Getafe,La Liga,28,1995,15,11,907,10.1,0,0,0,0,0,0,5,2,0.3,0.3,0.1,0.4,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,7,4,5,7,71.4,7,8,27,294,380,77.4,6753,2583,-0.1,2,40,1
Dominik Kohr,GER,"DF,MF",Mainz 05,Bundesliga,29,1994,31,27,2184,24.3,1,0,1,1,0,0,15,1,1.6,1.6,1.2,2.8,0.04,0.0,0.04,0.07,0.05,0.12,0.07,0.12,65,42,36,57,63.2,27,43,58,876,1159,75.6,16488,5668,-1.2,15,87,15
Dominique Heintz,GER,DF,Köln,Bundesliga,29,1993,12,6,568,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,12,5,8,12,66.7,6,3,28,349,423,82.5,6540,2053,-0.5,7,24,6
Donny van de Beek,NED,DF,Manchester Utd,Premier League,26,1997,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,1.09,4.44,5.54,1.09,5.54,0,0,0,0,,1,0,0,1,1,100.0,7,0,-0.1,1,0,0
Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,26,1996,24,22,1993,22.1,0,0,0,0,0,0,2,1,0.5,0.5,1.0,1.5,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,26,11,18,22,81.8,27,18,94,1051,1204,87.3,20032,7213,-1.0,7,45,2
Dylan Bronn,TUN,"DF,MF",Salernitana,Serie A,28,1995,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0,0,0,1,0.0,2,0,4,8,12,66.7,116,60,0.0,0,2,1
Éder Militão,BRA,DF,Real Madrid,La Liga,25,1998,10,6,496,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,7,3,6,9,66.7,4,4,19,297,329,90.3,5567,1956,0.0,0,13,0
Édgar González,ESP,"DF,MF",Almería,La Liga,26,1997,31,30,2522,28.0,2,0,2,2,0,0,7,1,2.3,2.3,0.3,2.6,0.07,0.0,0.07,0.08,0.01,0.09,0.08,0.09,45,21,25,49,51.0,48,38,130,1150,1350,85.2,21329,8387,-0.3,7,51,3
Edimilson Fernandes,SUI,DF,Mainz 05,Bundesliga,27,1996,21,13,1290,14.3,0,2,2,0,0,0,4,0,0.5,0.5,0.7,1.3,0.0,0.14,0.14,0.04,0.05,0.09,0.04,0.09,25,16,16,24,66.7,14,22,52,615,801,76.8,12814,5042,1.3,18,54,11
Edmond Tapsoba,BFA,DF,Leverkusen,Bundesliga,24,1999,28,23,2087,23.2,0,1,1,0,0,0,4,0,1.0,1.0,1.0,2.0,0.0,0.04,0.04,0.04,0.04,0.08,0.04,0.08,34,25,17,24,70.8,21,24,52,1795,1973,91.0,29578,12526,0.0,9,193,8
Edoardo Goldaniga,ITA,DF,Cagliari,Serie A,29,1993,13,12,1011,11.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.7,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,12,7,4,10,40.0,11,15,37,438,553,79.2,9533,3744,-0.1,4,37,6
Eduard Sobol,UKR,DF,Strasbourg,Ligue 1,28,1995,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,1,8,13,61.5,128,55,0.0,0,0,0
El Chadaille Bitshiabu,FRA,"DF,MF",RB Leipzig,Bundesliga,18,2005,6,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,0,1,4,48,59,81.4,829,270,0.0,0,2,0
Elias Baum,GER,"DF,MF",Eint Frankfurt,Bundesliga,17,2005,4,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,3,0,1,13,17,76.5,193,76,0.0,0,0,0
Elseid Hysaj,ALB,DF,Lazio,Serie A,29,1994,22,11,1199,13.3,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,24,14,15,24,62.5,16,17,31,713,850,83.9,10858,4236,-0.4,9,46,10
Emanuele Valeri,ITA,DF,Frosinone,Serie A,24,1998,16,14,1178,13.1,0,1,1,0,0,0,3,0,0.9,0.9,2.4,3.3,0.0,0.08,0.08,0.07,0.19,0.25,0.07,0.25,19,16,10,21,47.6,14,9,22,341,560,60.9,5852,2970,-1.4,23,32,13
Emerson,BRA,DF,Tottenham,Premier League,24,1999,22,11,1161,12.9,1,0,1,1,0,0,4,0,0.2,0.2,0.4,0.6,0.08,0.0,0.08,0.02,0.03,0.05,0.02,0.05,36,24,21,43,48.8,23,20,50,937,1038,90.3,13652,3714,-0.4,3,42,7
Emerson Palmieri,ITA,DF,West Ham,Premier League,28,1994,36,35,3137,34.9,1,2,3,1,0,0,10,0,1.5,1.5,2.4,3.9,0.03,0.06,0.09,0.04,0.07,0.11,0.04,0.11,106,68,57,90,63.3,47,43,96,1421,1745,81.4,19356,7676,-0.4,25,89,22
Emil Holm,SWE,DF,Atalanta,Serie A,23,2000,22,12,947,10.5,1,1,2,1,0,0,5,0,2.7,2.7,0.8,3.6,0.1,0.1,0.19,0.26,0.08,0.34,0.26,0.34,28,19,16,36,44.4,25,7,25,304,457,66.5,4675,1618,0.2,4,18,8
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,28,1994,17,8,913,10.1,0,0,0,0,0,0,2,0,0.2,0.2,1.0,1.2,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,21,14,12,25,48.0,8,9,21,488,580,84.1,7498,2971,-1.0,9,26,13
Emir Karic,AUT,DF,Darmstadt 98,Bundesliga,26,1997,27,18,1783,19.8,0,0,0,0,0,0,4,0,0.4,0.4,1.3,1.7,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,45,27,21,33,63.6,42,13,43,953,1210,78.8,15725,6219,-1.3,21,89,27
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,2.4,2.4,1.5,3.8,0.03,0.03,0.07,0.08,0.05,0.13,0.08,0.13,65,41,44,64,68.8,47,55,116,1599,1838,87.0,32774,10984,-0.5,12,172,5
Emmanuel Gyasi,GHA,"DF,FW",Empoli,Serie A,29,1994,33,21,1879,20.9,1,2,3,1,0,0,8,0,3.5,3.5,1.5,5.0,0.05,0.1,0.14,0.17,0.07,0.24,0.17,0.24,34,17,15,32,46.9,30,5,27,412,550,74.9,5864,1972,0.5,10,22,14
Eneko Ortiz,ESP,DF,Alavés,La Liga,20,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,3,4,75.0,43,31,0.0,0,0,1
Enzo Ebosse,CMR,DF,Udinese,Serie A,24,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.0,0,1,0,12,15,80.0,222,57,0.0,0,1,0
Enzo Mongo,FRA,DF,Nantes,Ligue 1,18,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,50.0,1,1,0,0,2,0.0,0,0,0.0,0,0,0
Enzo Tchato,CMR,DF,Montpellier,Ligue 1,20,2002,17,11,1125,12.5,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,26,17,11,25,44.0,20,11,25,478,639,74.8,8024,3281,-0.3,7,45,15
Eray Cömert,SUI,DF,Nantes,Ligue 1,25,1998,25,23,1995,22.2,2,0,2,2,0,0,5,0,0.7,0.7,0.2,0.8,0.09,0.0,0.09,0.03,0.01,0.04,0.03,0.04,42,28,28,38,73.7,35,36,77,941,1064,88.4,18882,6076,-0.2,4,57,4
Erhan Mašović,SRB,"DF,MF",Bochum,Bundesliga,24,1998,29,24,2219,24.7,0,0,0,0,0,0,7,0,1.1,1.1,0.3,1.4,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,64,40,37,70,52.9,32,25,75,570,732,77.9,10260,3003,-0.3,4,43,5
Eric Bailly,CIV,DF,Villarreal,La Liga,29,1994,10,9,839,9.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,5,3,2,2,100.0,8,9,38,337,385,87.5,6283,2551,0.0,0,12,1
Eric Curbelo,ESP,"DF,MF",Las Palmas,La Liga,29,1994,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,4,75.0,3,2,5,57,59,96.6,885,340,0.0,0,0,0
Eric Dier,ENG,DF,Bayern Munich,Bundesliga,29,1994,15,13,1166,13.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.7,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,11,8,5,6,83.3,20,10,48,1042,1143,91.2,20714,8102,-0.1,2,61,1
Eric Dier,ENG,DF,Tottenham,Premier League,29,1994,4,1,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2,100.0,3,2,12,125,141,88.7,2070,1037,0.0,0,3,0
Eric García,ESP,DF,Girona,La Liga,22,2001,30,30,2637,29.3,5,0,5,5,0,0,4,0,2.8,2.8,0.5,3.4,0.17,0.0,0.17,0.1,0.02,0.12,0.1,0.12,55,37,34,49,69.4,36,30,79,2064,2306,89.5,37231,14739,-0.5,10,223,17
Eric García,ESP,DF,Barcelona,La Liga,22,2001,2,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,0,0,0,0,,1,0,0,46,48,95.8,802,308,0.0,0,4,0
Ethan Pinnock,JAM,DF,Brentford,Premier League,30,1993,29,28,2521,28.0,2,0,2,2,0,0,1,0,2.0,2.0,1.0,3.0,0.07,0.0,0.07,0.07,0.04,0.11,0.07,0.11,35,23,9,20,45.0,40,43,170,1192,1432,83.2,22546,7516,-1.0,4,76,5
Etienne Youte Kinkoue,FRA,DF,Le Havre,Ligue 1,21,2002,22,22,1941,21.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,15,9,7,11,63.6,21,44,104,833,962,86.6,16457,5709,-0.1,3,41,0
Ezri Konsa,ENG,DF,Aston Villa,Premier League,25,1997,35,35,3069,34.1,1,0,1,1,0,0,5,0,2.5,2.5,0.5,3.0,0.03,0.0,0.03,0.07,0.02,0.09,0.07,0.09,54,32,23,27,85.2,36,28,73,1907,2094,91.1,31947,10672,-0.5,8,132,14
Fabian Nürnberger,BUL,"DF,MF",Darmstadt 98,Bundesliga,24,1999,21,17,1513,16.8,1,1,2,1,0,0,2,0,0.9,0.9,2.0,3.0,0.06,0.06,0.12,0.05,0.12,0.18,0.05,0.18,29,22,22,41,53.7,11,17,26,713,895,79.7,11202,3439,-1.0,30,52,26
Fabian Schär,SUI,DF,Newcastle Utd,Premier League,31,1991,36,35,3054,33.9,4,1,5,4,0,0,5,0,2.5,2.5,0.7,3.3,0.12,0.03,0.15,0.07,0.02,0.1,0.07,0.1,42,24,18,40,45.0,50,36,133,1762,2128,82.8,36227,14874,0.3,10,145,18
Fabiano Parisi,ITA,DF,Fiorentina,Serie A,22,2000,21,16,1454,16.2,0,1,1,0,0,0,4,0,0.9,0.9,2.4,3.3,0.0,0.06,0.06,0.06,0.15,0.2,0.06,0.2,30,15,15,26,57.7,21,17,26,830,1001,82.9,14051,4372,-1.4,16,56,20
Fabien Centonze,FRA,DF,Hellas Verona,Serie A,27,1996,10,7,676,7.5,0,1,1,0,0,0,2,0,0.0,0.0,1.0,1.1,0.0,0.13,0.13,0.0,0.14,0.14,0.0,0.14,14,8,5,10,50.0,14,10,18,213,317,67.2,3365,1617,0.0,6,14,8
Fabien Centonze,FRA,DF,Nantes,Ligue 1,27,1996,3,1,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,3,66.7,2,0,1,37,51,72.5,640,242,0.0,0,1,3
Fabio Chiarodia,ITA,DF,Gladbach,Bundesliga,18,2005,7,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,8,5,5,7,71.4,2,3,9,78,87,89.7,1232,439,-0.1,1,3,1
Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,11,2,164,1.8,0,0,0,0,0,0,2,1,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.73,1,1,1,3,33.3,0,4,8,68,103,66.0,1143,377,-1.3,4,4,4
Facundo Medina,ARG,DF,Lens,Ligue 1,24,1999,31,30,2714,30.2,1,3,4,1,0,0,11,0,1.1,1.1,1.8,2.9,0.03,0.1,0.13,0.04,0.06,0.1,0.04,0.1,64,38,44,69,63.8,38,24,59,1823,2112,86.3,32296,11954,1.2,25,205,31
Faitout Maouassa,FRA,"DF,MF",Granada,La Liga,25,1998,6,2,229,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,0.0,0.39,0.39,0.06,0.18,0.24,0.06,0.24,8,5,4,5,80.0,6,1,3,58,97,59.8,926,409,0.5,5,4,1
Falaye Sacko,MLI,DF,Montpellier,Ligue 1,28,1995,19,15,1382,15.4,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.5,0.0,0.07,0.07,0.0,0.03,0.03,0.0,0.03,28,16,21,32,65.6,19,24,37,605,784,77.2,10049,3666,0.6,7,39,13
Fali,ESP,DF,Cádiz,La Liga,29,1993,30,30,2547,28.3,0,0,0,0,0,0,12,0,0.8,0.8,0.1,0.9,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,41,26,21,36,58.3,38,27,120,799,1050,76.1,17510,6817,-0.1,4,76,5
Fali Candé,GNB,DF,Metz,Ligue 1,25,1998,25,20,1849,20.5,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,0.0,0.05,0.05,0.04,0.02,0.06,0.04,0.06,40,19,20,35,57.1,41,20,107,628,799,78.6,14351,5183,0.5,6,38,2
Federico Baschirotto,ITA,DF,Lecce,Serie A,26,1996,37,37,3294,36.6,0,1,1,0,0,0,3,1,1.7,1.5,0.7,2.1,0.0,0.03,0.03,0.05,0.02,0.07,0.04,0.06,21,12,8,15,53.3,42,23,144,1516,1808,83.8,30369,9843,0.3,2,71,1
Federico Dimarco,ITA,DF,Inter,Serie A,25,1997,30,29,2077,23.1,5,6,11,5,0,0,0,0,2.9,2.7,8.5,11.1,0.22,0.26,0.48,0.13,0.37,0.49,0.12,0.48,42,25,17,35,48.6,18,9,34,1027,1328,77.3,17596,5513,-2.5,61,60,57
Federico Fazio,ARG,DF,Salernitana,Serie A,36,1987,17,15,1355,15.1,1,0,1,1,0,0,3,1,0.4,0.4,0.1,0.5,0.07,0.0,0.07,0.03,0.01,0.03,0.03,0.03,18,11,8,14,57.1,22,17,99,440,587,75.0,8392,3494,-0.1,3,26,1
Federico Gatti,ITA,DF,Juventus,Serie A,25,1998,32,30,2637,29.3,4,0,4,4,0,0,7,0,5.5,5.5,1.5,7.0,0.14,0.0,0.14,0.19,0.05,0.24,0.19,0.24,33,19,19,24,79.2,26,19,90,1166,1370,85.1,21805,7166,-1.5,10,103,7
Federico Gattoni,ARG,"DF,FW",Sevilla,La Liga,24,1999,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,100.0,0,0,1,7,9,77.8,137,21,0.0,0,0,0
Felipe,BRA,DF,Nott'ham Forest,Premier League,34,1989,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,12,9,9,12,75.0,4,4,12,183,215,85.1,3654,1412,-0.1,2,10,0
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,24,19,1614,17.9,0,0,0,0,0,0,2,0,0.9,0.9,0.6,1.5,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,45,29,29,41,70.7,27,13,41,488,669,72.9,7657,2921,-0.6,7,18,16
Felix Passlack,GER,DF,Bochum,Bundesliga,25,1998,15,13,960,10.7,2,2,4,2,0,0,2,1,0.9,0.9,1.2,2.1,0.19,0.19,0.37,0.08,0.11,0.2,0.08,0.2,21,14,14,24,58.3,13,10,21,262,414,63.3,4702,1695,0.8,14,20,11
Ferland Mendy,FRA,DF,Real Madrid,La Liga,28,1995,23,21,1720,19.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,15,10,11,14,78.6,12,13,26,1201,1275,94.2,16396,4875,-0.9,11,63,10
Festy Ebosele,IRL,DF,Udinese,Serie A,20,2002,31,20,1700,18.9,0,0,0,0,0,0,6,1,0.8,0.8,1.8,2.6,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,33,20,21,35,60.0,33,10,27,278,419,66.3,4631,1636,-1.8,15,22,11
Fikayo Tomori,ENG,DF,Milan,Serie A,25,1997,26,24,2121,23.6,4,0,4,4,0,0,8,1,3.7,3.7,0.2,3.9,0.17,0.0,0.17,0.16,0.01,0.16,0.16,0.16,42,24,18,29,62.1,34,26,75,1541,1691,91.1,27326,9784,-0.2,4,39,1
Filip Kostić,SRB,DF,Juventus,Serie A,30,1992,29,26,1815,20.2,0,4,4,0,0,0,2,0,0.7,0.7,5.4,6.1,0.0,0.2,0.2,0.03,0.27,0.3,0.03,0.3,37,23,17,33,51.5,29,9,43,726,997,72.8,12641,4579,-1.4,40,53,30
Filippo Missori,ITA,DF,Sassuolo,Serie A,19,2004,8,2,266,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.1,0.02,0.11,0.1,0.11,6,3,4,11,36.4,3,4,8,89,113,78.8,1575,527,0.0,2,5,2
Filippo Terracciano,ITA,DF,Hellas Verona,Serie A,20,2003,18,14,1296,14.4,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.3,0.0,0.07,0.07,0.02,0.07,0.09,0.02,0.09,30,19,17,31,54.8,24,20,17,507,713,71.1,9215,4188,0.0,18,49,14
Filippo Terracciano,ITA,"DF,FW",Milan,Serie A,20,2003,3,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,3,33.3,3,0,1,38,40,95.0,652,143,0.0,0,0,0
Flavius Daniliuc,AUT,DF,Salernitana,Serie A,22,2001,14,8,744,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.5,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,19,11,9,19,47.4,13,8,15,350,411,85.2,5932,2368,-0.2,5,31,2
Florent Ogier,FRA,DF,Clermont Foot,Ligue 1,34,1989,14,9,943,10.5,1,1,2,1,0,0,1,0,0.6,0.6,0.5,1.1,0.1,0.1,0.19,0.06,0.05,0.1,0.06,0.1,19,9,11,18,61.1,25,9,35,425,512,83.0,7821,3241,0.5,1,13,0
Florian Grillitsch,AUT,"DF,MF",Hoffenheim,Bundesliga,27,1995,30,25,2295,25.5,1,6,7,1,0,0,8,0,1.2,1.2,1.7,2.9,0.04,0.24,0.27,0.05,0.07,0.12,0.05,0.12,54,28,22,54,40.7,41,52,90,1496,1753,85.3,27923,11022,4.3,19,152,20
Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,32,1991,37,37,3327,37.0,3,1,4,3,0,0,5,0,3.3,3.3,0.7,4.0,0.08,0.03,0.11,0.09,0.02,0.11,0.09,0.11,39,25,19,30,63.3,33,23,155,1636,2031,80.6,35738,16035,0.3,9,137,5
Fodé Ballo-Touré,SEN,"DF,MF",Fulham,Premier League,26,1997,6,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,2,50.0,1,3,2,56,78,71.8,1002,224,0.0,0,3,0
Formose Mendy,SEN,DF,Lorient,Ligue 1,22,2001,18,13,1256,14.0,0,0,0,0,0,0,6,0,0.3,0.3,0.1,0.4,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,33,19,20,33,60.6,23,20,59,587,739,79.4,11323,4269,-0.1,2,56,4
Fran Garcia,ESP,DF,Real Madrid,La Liga,23,1999,25,15,1398,15.5,1,5,6,1,0,0,2,0,0.5,0.5,2.4,3.0,0.06,0.32,0.39,0.03,0.16,0.19,0.03,0.19,25,17,13,31,41.9,16,19,28,841,997,84.4,12143,3312,2.6,16,38,14
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,0.11,0.04,0.15,0.06,0.07,0.13,0.06,0.13,22,13,11,14,78.6,20,32,77,1615,1781,90.7,29326,9174,-0.8,7,58,5
Franck Honorat,FRA,"DF,FW",Gladbach,Bundesliga,26,1996,32,28,2345,26.1,3,9,12,3,0,0,1,0,1.6,1.6,9.3,10.8,0.12,0.35,0.46,0.06,0.36,0.42,0.06,0.42,25,13,11,20,55.0,22,9,35,802,1207,66.4,13080,5175,-0.3,89,37,56
Frank Ronstadt,GER,"DF,MF",Darmstadt 98,Bundesliga,26,1997,4,0,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,1,0,0,1,0.0,1,1,3,35,42,83.3,479,178,-0.1,2,2,2
Frans Krätzig,GER,DF,Bayern Munich,Bundesliga,20,2003,4,0,56,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0.0,0.0,0.0,0.42,0.42,0.84,0.42,0.84,2,0,1,2,50.0,0,0,0,45,50,90.0,705,183,-0.3,2,3,1
Fred Onyedinma,ENG,"DF,MF",Luton Town,Premier League,26,1996,8,4,407,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,10,6,5,12,41.7,3,1,13,91,135,67.4,1431,352,-0.1,2,4,2
Frederic Guilbert,FRA,"DF,MF",Strasbourg,Ligue 1,28,1994,32,29,2490,27.7,2,0,2,2,0,0,3,0,1.1,1.1,1.6,2.7,0.07,0.0,0.07,0.04,0.06,0.1,0.04,0.1,87,50,47,72,65.3,39,71,99,1108,1467,75.5,20135,6597,-1.6,23,87,17
Gabriel Gudmundsson,SWE,"DF,FW",Lille,Ligue 1,24,1999,25,14,1267,14.1,1,0,1,1,0,0,2,0,1.1,1.1,1.2,2.2,0.07,0.0,0.07,0.08,0.08,0.16,0.08,0.16,22,16,12,20,60.0,14,15,25,437,560,78.0,6983,1602,-1.2,13,20,10
Gabriel Magalhães,BRA,DF,Arsenal,Premier League,25,1997,36,34,3044,33.8,4,0,4,4,0,0,4,0,4.3,4.3,0.7,5.0,0.12,0.0,0.12,0.13,0.02,0.15,0.13,0.15,48,28,17,22,77.3,44,31,100,1914,2157,88.7,32123,10388,-0.7,3,143,9
Gabriel Osho,NGA,DF,Luton Town,Premier League,24,1998,21,21,1846,20.5,2,0,2,2,0,0,3,0,1.1,1.1,0.1,1.2,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06,41,22,16,27,59.3,37,31,92,580,706,82.2,10931,4019,-0.1,2,30,3
Gabriel Paulista,BRA,DF,Valencia,La Liga,32,1990,18,16,1398,15.5,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.6,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,10,7,6,11,54.5,15,24,78,699,816,85.7,14412,5224,-0.2,2,40,3
