Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Sh,SoT,SoT%,Sh/90,SoT/90,ShDist,npxG/Sh,G-xG,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA,PrgC,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,TOAtt,TOSucc,TOSucc%,Tkld,Tkld%,Carries,CTotDist,CPrgDist,C1/3,CPA,Rec
Andrej Ilic,SRB,FW,Lille,Ligue 1,23,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,1,1,100.0,12,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,1,3,1,0,0,1
Andy Logbo,FRA,FW,Le Havre,Ligue 1,19,2004,10,2,248,2.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,0.0,0.0,0.0,0.12,0.04,0.16,0.12,0.16,4,0,0.0,1.45,0.0,13.1,0.08,-0.3,31,40,77.5,349,37,-0.1,3,2,0,1,7,79,4,9,36,35,12,5,4,80.0,1,20.0,55,290,57,0,1,46
Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,28,1995,32,14,1528,17.0,9,2,11,8,1,1,3,0,7.9,7.1,3.6,10.8,0.53,0.12,0.65,0.47,0.21,0.68,0.42,0.63,42,19,45.2,2.47,1.12,17.0,0.17,1.1,379,516,73.4,4856,1162,-1.6,32,29,23,40,128,719,7,53,268,405,129,56,28,50.0,27,48.2,473,2206,1026,16,26,531
Ângelo,BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,21,11,1094,12.2,0,3,3,0,0,0,1,0,0.4,0.4,3.3,3.7,0.0,0.25,0.25,0.04,0.27,0.31,0.04,0.31,9,4,44.4,0.74,0.33,22.2,0.05,-0.4,300,426,70.4,4918,1875,-0.3,26,32,25,50,109,593,7,76,261,282,27,56,30,53.6,23,41.1,464,4032,1883,47,6,411
Ante Budimir,CRO,FW,Osasuna,La Liga,32,1991,33,29,2435,27.1,17,2,19,14,3,4,4,0,14.2,11.1,1.8,12.9,0.63,0.07,0.7,0.53,0.07,0.59,0.41,0.48,73,31,42.5,2.7,1.15,12.8,0.15,2.8,241,441,54.6,2893,814,0.2,12,27,10,21,99,736,23,53,307,382,152,31,10,32.3,20,64.5,311,1272,504,12,17,508
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,Premier League,21,2002,36,25,2433,27.0,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,0.18,0.33,0.52,0.24,0.25,0.49,0.24,0.49,54,22,40.7,2.0,0.81,16.2,0.12,-1.6,498,712,69.9,6655,1569,2.3,32,28,24,98,196,1022,25,181,348,507,122,76,28,36.8,42,55.3,625,4704,2514,54,42,740
Anthony Gordon,ENG,FW,Newcastle Utd,Premier League,22,2001,35,34,2890,32.1,11,10,21,10,1,1,12,1,10.2,9.4,8.0,17.4,0.34,0.31,0.65,0.32,0.25,0.57,0.29,0.54,80,29,36.3,2.49,0.9,17.3,0.12,0.8,803,1055,76.1,12020,3500,2.0,57,54,39,138,232,1424,15,158,555,733,147,133,54,40.6,56,42.1,955,7622,3668,73,59,1026
Anthony Lozano,HON,FW,Almería,La Liga,30,1993,13,10,772,8.6,3,0,3,3,0,0,1,0,3.3,3.3,0.7,4.0,0.35,0.0,0.35,0.38,0.08,0.46,0.38,0.46,23,9,39.1,2.68,1.05,13.3,0.14,-0.3,98,136,72.1,1362,383,-0.7,7,12,1,12,24,244,15,27,126,91,22,17,4,23.5,11,64.7,130,676,287,10,5,172
Anthony Martial,FRA,FW,Manchester Utd,Premier League,27,1995,13,5,448,5.0,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.5,0.2,0.0,0.2,0.25,0.05,0.29,0.25,0.29,6,4,66.7,1.21,0.8,12.9,0.2,-0.2,109,139,78.4,1267,263,-0.2,6,6,2,6,36,178,3,11,81,89,16,6,2,33.3,2,33.3,105,444,168,6,1,148
Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,La Liga,32,1991,33,31,2644,29.4,16,6,22,12,4,4,5,0,12.3,9.3,5.6,14.9,0.54,0.2,0.75,0.42,0.19,0.61,0.32,0.51,75,29,38.7,2.55,0.99,17.3,0.12,3.7,1062,1383,76.8,16588,4212,0.4,43,86,34,43,196,1654,35,215,769,681,113,38,22,57.9,15,39.5,839,3612,1843,36,7,1194
