Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Sh,SoT,SoT%,Sh/90,SoT/90,ShDist,npxG/Sh,G-xG,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA,PrgC,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,TOAtt,TOSucc,TOSucc%,Tkld,Tkld%,Carries,CTotDist,CPrgDist,C1/3,CPA,Rec
David Datro Fofana,CIV,FW,Burnley,Premier League,20,2002,15,10,879,9.8,4,1,5,4,0,0,1,0,4.5,4.5,1.8,6.4,0.41,0.1,0.51,0.46,0.19,0.65,0.46,0.65,19,10,52.6,1.95,1.02,14.0,0.24,-0.5,117,173,67.6,1574,343,-0.8,8,9,5,21,39,307,10,36,130,147,45,41,15,36.6,22,53.7,187,1226,527,9,11,222
David Mamutovic,GER,"FW,DF",Mainz 05,Bundesliga,22,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,7,10,70.0,96,45,0.0,0,3,0,0,0,12,0,2,7,3,0,0,0,,0,,7,19,5,0,0,9
David Okereke,NGA,"FW,MF",Torino,Serie A,25,1997,9,3,252,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,8,5,62.5,2.86,1.79,19.8,0.03,-0.2,72,92,78.3,1089,175,-0.1,2,0,1,8,23,122,0,6,48,68,12,6,1,16.7,3,50.0,77,439,225,1,7,101
Davie Selke,GER,FW,Köln,Bundesliga,28,1995,19,16,1265,14.1,6,0,6,6,0,0,3,0,4.8,4.8,0.4,5.2,0.43,0.0,0.43,0.34,0.03,0.37,0.34,0.37,33,11,33.3,2.35,0.78,11.1,0.14,1.2,144,234,61.5,1808,325,-0.4,11,12,4,9,46,341,24,35,166,140,63,12,6,50.0,6,50.0,171,653,232,3,5,257
Dawid Kownacki,POL,FW,Werder Bremen,Bundesliga,26,1997,22,3,380,4.2,0,0,0,0,0,0,0,0,1.3,1.3,0.4,1.6,0.0,0.0,0.0,0.31,0.08,0.39,0.31,0.39,19,4,21.1,4.5,0.95,16.2,0.07,-1.3,69,109,63.3,942,199,-0.4,5,10,1,5,26,159,2,10,66,83,31,3,2,66.7,1,33.3,77,346,88,1,3,125
Dejan Kulusevski,SWE,"FW,MF",Tottenham,Premier League,23,2000,36,31,2762,30.7,8,3,11,8,0,0,7,0,4.7,4.7,7.7,12.4,0.26,0.1,0.36,0.15,0.25,0.4,0.15,0.4,57,23,40.4,1.86,0.75,15.7,0.08,3.3,953,1234,77.2,13509,3584,-4.7,66,55,73,151,388,1623,12,167,503,984,226,129,54,41.9,66,51.2,1169,7680,3856,61,82,1229
Demba Seck,SEN,"FW,MF",Frosinone,Serie A,22,2001,11,3,298,3.3,0,0,0,0,0,0,0,0,1.1,1.1,0.3,1.4,0.0,0.0,0.0,0.34,0.1,0.44,0.34,0.44,7,2,28.6,2.11,0.6,16.8,0.16,-1.1,74,92,80.4,959,206,-0.3,3,2,2,11,23,141,1,11,60,72,13,13,4,30.8,7,53.8,89,661,318,9,6,98
Deniz Undav,GER,"FW,MF",Stuttgart,Bundesliga,27,1996,30,23,2089,23.2,18,10,28,18,0,1,5,0,15.0,14.3,6.5,20.8,0.78,0.43,1.21,0.65,0.28,0.93,0.61,0.9,106,51,48.1,4.57,2.2,17.4,0.13,3.0,595,799,74.5,8387,2679,3.5,39,67,44,45,182,1089,9,69,492,537,147,50,27,54.0,20,40.0,674,3116,1459,36,20,889
Didier Lamkel Zé,CMR,"FW,MF",Metz,Ligue 1,26,1996,9,7,550,6.1,1,0,1,1,0,0,1,0,1.6,1.6,0.9,2.5,0.16,0.0,0.16,0.26,0.15,0.41,0.26,0.41,11,3,27.3,1.8,0.49,16.4,0.14,-0.6,137,190,72.1,2652,608,-0.9,6,14,3,15,23,262,15,45,134,89,15,17,6,35.3,11,64.7,192,1239,542,19,4,190
Diego Moreira,POR,"FW,MF",Lyon,Ligue 1,18,2004,7,4,270,3.0,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,0.0,0.0,0.0,0.24,0.11,0.35,0.24,0.35,5,2,40.0,1.67,0.67,11.3,0.14,-0.7,74,108,68.5,1070,252,-0.3,3,4,3,10,23,148,2,24,74,51,9,9,2,22.2,7,77.8,120,795,355,5,3,108
Dilane Bakwa,FRA,"FW,MF",Strasbourg,Ligue 1,20,2002,31,25,2177,24.2,3,6,9,3,0,0,4,1,3.2,3.2,6.2,9.4,0.12,0.25,0.37,0.13,0.26,0.39,0.13,0.39,44,12,27.3,1.82,0.5,19.6,0.07,-0.2,587,862,68.1,10108,3121,-0.2,49,50,36,94,204,1158,20,127,487,577,75,121,52,43.0,62,51.2,806,6019,2898,76,24,756
Diogo Jota,POR,FW,Liverpool,Premier League,26,1996,21,14,1145,12.7,10,3,13,10,0,0,3,1,5.3,5.3,3.3,8.6,0.79,0.24,1.02,0.42,0.26,0.68,0.42,0.68,41,19,46.3,3.22,1.49,12.3,0.13,4.7,287,394,72.8,3995,939,-0.3,22,18,12,54,111,594,8,53,240,311,107,41,15,36.6,21,51.2,350,2104,1239,29,23,427
Dion Drena Beljo,CRO,"FW,MF",Augsburg,Bundesliga,21,2002,26,3,581,6.5,2,0,2,2,0,0,2,0,3.0,3.0,0.5,3.5,0.31,0.0,0.31,0.46,0.08,0.54,0.46,0.54,19,7,36.8,2.94,1.08,13.4,0.16,-1.0,115,160,71.9,1717,335,-0.5,8,5,8,16,35,239,5,24,92,126,38,24,11,45.8,10,41.7,133,963,402,13,6,178
Divin Mubama,ENG,FW,West Ham,Premier League,18,2004,5,0,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,1,0,0.0,1.13,0.0,12.5,0.15,-0.1,16,22,72.7,200,15,0.0,0,0,0,0,5,32,0,3,20,9,1,0,0,,0,,18,41,12,1,0,24
Divock Origi,BEL,FW,Nott'ham Forest,Premier League,28,1995,20,6,606,6.7,0,1,1,0,0,0,1,0,1.4,1.4,2.1,3.5,0.0,0.15,0.15,0.21,0.31,0.51,0.21,0.51,14,2,14.3,2.08,0.3,19.7,0.1,-1.4,92,144,63.9,1357,327,-1.1,7,7,5,19,41,225,3,23,103,105,26,24,9,37.5,12,50.0,144,914,409,9,9,172
Dodi Lukebakio,BEL,"FW,MF",Sevilla,La Liga,25,1997,23,12,1125,12.5,5,1,6,5,0,0,0,0,5.6,5.6,0.7,6.2,0.4,0.08,0.48,0.45,0.05,0.5,0.45,0.5,42,17,40.5,3.36,1.36,14.4,0.13,-0.6,269,351,76.6,4081,574,0.3,13,8,10,48,116,520,8,36,193,298,67,62,30,48.4,26,41.9,369,2713,1336,31,24,437
Domenico Berardi,ITA,FW,Sassuolo,Serie A,28,1994,17,17,1431,15.9,9,3,12,4,5,5,6,0,6.5,2.6,3.0,5.6,0.57,0.19,0.75,0.41,0.19,0.6,0.16,0.35,46,19,41.3,2.89,1.19,23.3,0.06,2.5,409,641,63.8,8116,2265,0.0,27,48,29,38,123,829,9,67,340,430,63,28,11,39.3,14,50.0,496,2734,1220,26,14,607
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,18,12,965,10.7,2,1,3,2,0,0,0,0,0.6,0.6,1.2,1.8,0.19,0.09,0.28,0.05,0.11,0.17,0.05,0.17,10,4,40.0,0.93,0.37,19.3,0.06,1.4,315,399,78.9,4701,1257,-0.2,13,29,10,24,33,514,12,72,245,203,16,29,13,44.8,12,41.4,292,1847,861,27,6,367
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,26,1997,32,26,2171,24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,0.29,0.08,0.37,0.54,0.13,0.66,0.47,0.6,71,28,39.4,2.94,1.16,13.9,0.16,-5.9,248,440,56.4,2917,647,-1.1,19,13,12,36,122,738,50,79,263,399,124,43,14,32.6,26,60.5,357,2068,794,21,22,565
Dominic Sadi,ENG,FW,Bournemouth,Premier League,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,2,0,0,2,0,0,0,0,,0,,1,6,0,0,0,1
Dominic Solanke,ENG,FW,Bournemouth,Premier League,25,1997,38,37,3325,36.9,19,3,22,17,2,3,3,0,19.6,17.2,3.0,20.3,0.51,0.08,0.6,0.53,0.08,0.61,0.47,0.55,106,35,33.0,2.87,0.95,12.2,0.16,-0.6,400,544,73.5,5026,1387,0.0,39,32,24,52,184,1069,57,113,426,547,216,106,39,36.8,60,56.6,599,3921,1420,24,27,724
Donyell Malen,NED,"FW,MF",Dortmund,Bundesliga,24,1999,27,21,1781,19.8,13,1,14,13,0,0,5,0,9.5,9.5,3.0,12.5,0.66,0.05,0.71,0.48,0.15,0.63,0.48,0.63,72,36,50.0,3.64,1.82,16.5,0.14,3.5,410,546,75.1,5627,1551,-2.0,22,21,36,73,163,800,10,78,262,475,118,95,42,44.2,40,42.1,558,3933,1957,49,45,631
Dušan Vlahović,SRB,FW,Juventus,Serie A,23,2000,33,27,2307,25.6,16,4,20,14,2,4,8,1,16.6,13.3,2.3,15.6,0.62,0.16,0.78,0.65,0.09,0.74,0.52,0.61,106,35,33.0,4.14,1.37,15.8,0.13,-0.6,380,542,70.1,5845,888,1.7,29,21,14,36,174,833,14,63,368,410,152,43,18,41.9,23,53.5,473,2013,840,19,20,637
Duván Zapata,COL,FW,Torino,Serie A,32,1991,35,34,2880,32.0,12,4,16,12,0,0,2,0,10.9,10.9,3.0,13.9,0.37,0.12,0.5,0.34,0.09,0.43,0.34,0.43,99,38,38.4,3.09,1.19,13.3,0.11,1.1,492,752,65.4,7145,1154,1.0,27,31,13,74,242,1218,36,85,509,642,196,111,36,32.4,62,55.9,769,4516,1845,54,27,960
Duván Zapata,COL,FW,Atalanta,Serie A,32,1991,2,2,112,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,0.8,0.0,0.8,0.33,0.1,0.44,0.33,0.44,5,2,40.0,4.02,1.61,12.3,0.08,0.6,36,50,72.0,393,32,-0.1,2,0,1,3,13,65,1,3,27,35,10,3,2,66.7,1,33.3,47,206,70,1,2,50
Dženan Pejčinović,GER,FW,Wolfsburg,Bundesliga,18,2005,4,0,37,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,0.0,0.0,0.0,0.29,0.34,0.63,0.29,0.63,2,0,0.0,4.86,0.0,13.8,0.06,-0.1,6,10,60.0,76,0,-0.1,2,0,0,1,2,16,0,0,7,9,4,0,0,,0,,8,23,19,0,0,11
Eddie Nketiah,ENG,FW,Arsenal,Premier League,24,1999,27,10,1082,12.0,5,2,7,5,0,0,3,0,4.5,4.5,0.8,5.4,0.42,0.17,0.58,0.38,0.07,0.45,0.38,0.45,38,12,31.6,3.16,1.0,12.7,0.12,0.5,168,215,78.1,2332,267,1.2,9,7,5,22,77,371,5,18,148,207,75,30,8,26.7,15,50.0,236,1195,497,12,11,275
Edon Zhegrova,KVX,FW,Lille,Ligue 1,24,1999,33,25,2288,25.4,6,6,12,6,0,0,3,1,6.2,6.2,6.2,12.4,0.24,0.24,0.47,0.24,0.24,0.49,0.24,0.49,82,29,35.4,3.23,1.14,20.3,0.08,-0.2,764,1043,73.3,12061,3392,-0.2,46,43,53,110,322,1387,17,110,463,842,115,174,90,51.7,76,43.7,1013,7820,3825,78,54,986
El Bilal Touré,MLI,FW,Atalanta,Serie A,21,2001,11,3,394,4.4,2,0,2,2,0,0,2,0,1.2,1.2,0.8,2.0,0.46,0.0,0.46,0.28,0.18,0.46,0.28,0.46,12,4,33.3,2.74,0.91,15.2,0.1,0.8,92,126,73.0,1229,181,-0.8,7,2,5,16,39,179,2,6,56,117,21,14,3,21.4,9,64.3,128,1009,417,15,2,160
Eldor Shomurodov,UZB,"FW,MF",Cagliari,Serie A,28,1995,22,10,936,10.4,3,3,6,3,0,0,1,0,3.5,3.5,1.7,5.2,0.29,0.29,0.58,0.34,0.16,0.5,0.34,0.5,21,7,33.3,2.02,0.67,11.9,0.19,-0.5,153,230,66.5,2048,487,1.3,10,10,5,12,52,364,4,33,164,174,46,28,10,35.7,16,57.1,191,1087,348,13,7,246
Eli Junior Kroupi,FRA,"FW,MF",Lorient,Ligue 1,17,2006,30,11,1084,12.0,5,3,8,5,0,0,1,0,3.5,3.5,1.8,5.3,0.42,0.25,0.66,0.29,0.15,0.44,0.29,0.44,22,12,54.5,1.83,1.0,13.7,0.16,1.5,216,279,77.4,3455,537,1.2,11,10,7,10,63,377,2,40,168,174,51,20,12,60.0,6,30.0,263,1372,428,13,5,248
Elif Elmas,MKD,"FW,MF",Napoli,Serie A,23,1999,11,4,339,3.8,2,0,2,2,0,0,2,0,0.5,0.5,0.2,0.7,0.53,0.0,0.53,0.13,0.06,0.19,0.13,0.19,6,6,100.0,1.59,1.59,19.1,0.08,1.5,167,191,87.4,2276,469,-0.2,6,14,1,14,26,240,7,27,107,111,12,13,6,46.2,7,53.8,140,1045,623,13,4,181
Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,27,16,1419,15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,0.63,0.0,0.63,0.37,0.04,0.42,0.37,0.42,31,14,45.2,1.97,0.89,9.6,0.19,4.1,144,204,70.6,1847,385,-0.7,14,9,4,16,110,462,27,52,172,243,82,67,18,26.9,46,68.7,265,1516,425,15,13,337
Elye Wahi,FRA,FW,Montpellier,Ligue 1,20,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,4.23,4.23,0.0,4.23,0,0,,0.0,0.0,,,0.0,6,6,100.0,99,22,-0.6,1,0,0,1,2,10,0,0,5,6,1,1,1,100.0,0,0.0,8,82,17,1,1,8
Elye Wahi,FRA,FW,Lens,Ligue 1,20,2003,27,20,1692,18.8,9,3,12,8,1,1,10,1,11.5,10.7,2.6,13.4,0.48,0.16,0.64,0.61,0.14,0.75,0.57,0.71,59,30,50.8,3.14,1.6,13.3,0.18,-2.5,214,295,72.5,2542,322,0.4,16,8,4,52,171,481,1,18,196,276,115,44,17,38.6,20,45.5,362,2398,1024,24,26,360
Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,20,2003,28,23,2078,23.1,8,1,9,8,0,1,3,0,10.8,10.0,0.4,10.4,0.35,0.04,0.39,0.47,0.02,0.49,0.43,0.45,47,20,42.6,2.04,0.87,12.0,0.21,-2.8,215,294,73.1,2721,378,0.6,9,11,2,24,115,504,28,44,237,232,88,34,10,29.4,22,64.7,352,2016,598,19,13,366
Emil Ceide,NOR,"FW,MF",Sassuolo,Serie A,21,2001,11,0,176,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.0,0.0,0.0,0.05,0.12,0.17,0.05,0.17,2,0,0.0,1.02,0.0,20.3,0.05,-0.1,40,59,67.8,521,189,-0.2,4,2,2,12,16,85,1,13,31,45,9,21,13,61.9,7,33.3,55,581,319,6,5,62
Emmanuel Ekong,SWE,FW,Empoli,Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,0,0,,0.0,0.0,,,0.0,1,1,100.0,12,0,0.0,1,0,0,0,1,4,0,0,3,1,1,3,0,0.0,2,66.7,4,36,1,0,0,4
Emmanuel Sabbi,USA,"FW,MF",Le Havre,Ligue 1,25,1997,30,18,1584,17.6,5,1,6,3,2,2,5,0,4.1,2.5,1.4,4.0,0.28,0.06,0.34,0.23,0.08,0.32,0.14,0.23,29,10,34.5,1.65,0.57,16.4,0.09,0.9,258,368,70.1,3538,1097,-0.4,10,21,9,38,101,630,17,106,260,272,61,60,20,33.3,37,61.7,438,2526,1057,16,16,402
Enes Ünal,TUR,"FW,MF",Bournemouth,Premier League,26,1997,16,2,328,3.6,2,2,4,2,0,0,1,0,2.9,2.9,1.0,3.9,0.55,0.55,1.1,0.8,0.28,1.07,0.8,1.07,23,8,34.8,6.31,2.2,12.5,0.13,-0.9,55,75,73.3,698,213,1.0,5,10,2,4,28,147,9,14,60,74,28,11,2,18.2,8,72.7,88,327,120,2,1,110
Enes Ünal,TUR,"FW,MF",Getafe,La Liga,26,1997,3,1,140,1.6,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,0.0,0.64,0.64,0.06,0.24,0.3,0.06,0.3,1,0,0.0,0.64,0.0,18.5,0.1,-0.1,24,35,68.6,317,121,0.6,3,1,0,2,7,49,2,7,18,25,6,4,2,50.0,1,25.0,31,149,78,2,0,37
Eren Dinkçi,GER,"FW,MF",Heidenheim,Bundesliga,21,2001,33,33,2650,29.4,10,5,15,10,0,0,8,0,4.3,4.3,3.7,8.0,0.34,0.17,0.51,0.15,0.13,0.27,0.15,0.27,49,21,42.9,1.66,0.71,19.7,0.09,5.7,508,819,62.0,8305,3108,1.3,36,65,33,85,143,1187,24,182,576,468,76,95,41,43.2,46,48.4,675,4819,2416,59,22,773
Erik Botheim,NOR,"FW,MF",Salernitana,Serie A,23,2000,7,4,316,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,1,0,0.0,0.28,0.0,15.8,0.11,-0.1,48,65,73.8,653,76,0.0,0,2,1,3,9,86,2,11,49,27,7,4,1,25.0,2,50.0,47,189,52,1,2,57
Érik Lamela,ARG,"FW,MF",Sevilla,La Liga,31,1992,13,5,463,5.1,2,0,2,2,0,0,3,0,1.0,1.0,1.0,2.0,0.39,0.0,0.39,0.19,0.19,0.38,0.19,0.38,9,4,44.4,1.75,0.78,14.2,0.11,1.0,142,174,81.6,1854,451,-1.0,12,11,6,11,28,266,2,34,101,138,26,16,7,43.8,9,56.3,159,843,400,13,4,176
Erling Haaland,NOR,FW,Manchester City,Premier League,23,2000,31,29,2552,28.4,27,5,32,20,7,8,1,0,29.2,22.9,4.3,27.2,0.95,0.18,1.13,1.03,0.15,1.18,0.81,0.96,113,50,44.2,3.99,1.76,11.9,0.2,-2.2,295,388,76.0,3234,567,0.7,29,16,11,35,126,636,15,36,206,398,183,30,12,40.0,16,53.3,357,1628,728,13,22,489
Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,25,1998,33,33,2873,31.9,15,9,24,12,3,4,7,0,13.5,10.3,3.9,14.2,0.47,0.28,0.75,0.42,0.12,0.54,0.32,0.45,77,32,41.6,2.41,1.0,14.0,0.13,1.5,371,574,64.6,4996,1174,5.1,33,40,17,28,167,937,27,92,388,468,164,65,29,44.6,31,47.7,482,2426,890,20,11,581
Ernest Nuamah,GHA,"FW,MF",Lyon,Ligue 1,19,2003,29,21,1838,20.4,3,2,5,3,0,0,4,0,4.0,4.0,3.8,7.8,0.15,0.1,0.24,0.2,0.19,0.38,0.2,0.38,43,20,46.5,2.11,0.98,18.0,0.09,-1.0,535,692,77.3,8568,1884,-1.8,29,30,31,105,237,983,27,128,324,561,108,122,51,41.8,63,51.6,753,6375,2990,66,38,722
Ethan Nwaneri,ENG,FW,Arsenal,Premier League,16,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0,0,,0.0,0.0,,,0.0,15,18,83.3,209,56,0.0,1,1,2,2,1,20,0,0,9,11,2,1,0,0.0,0,0.0,16,123,66,2,0,17
Ethan Wheatley,ENG,FW,Manchester Utd,Premier League,17,2006,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,0,0,,0,0,0.0,0,0,0,0,1,6,0,0,3,3,0,0,0,,0,,3,35,0,0,0,2
Evan Ferguson,IRL,FW,Brighton,Premier League,18,2004,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,0.4,0.0,0.4,0.3,0.04,0.34,0.3,0.34,33,20,60.6,2.17,1.32,15.5,0.14,1.4,244,303,80.5,3028,349,-0.5,6,11,4,13,62,448,13,64,204,185,45,16,7,43.8,6,37.5,286,1299,414,9,5,336
Evann Guessand,CIV,FW,Nice,Ligue 1,22,2001,34,14,1553,17.3,6,0,6,4,2,2,1,0,8.4,6.8,1.4,8.2,0.35,0.0,0.35,0.48,0.08,0.56,0.39,0.47,46,20,43.5,2.67,1.16,12.4,0.15,-2.4,218,294,74.1,2999,623,-1.4,15,15,12,40,114,565,6,59,233,285,103,64,24,37.5,36,56.3,411,3021,1104,29,14,420
Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,29,1994,17,10,864,9.6,1,3,4,1,0,0,3,2,2.0,2.0,2.3,4.3,0.1,0.31,0.42,0.21,0.24,0.45,0.21,0.45,27,6,22.2,2.81,0.62,21.2,0.08,-1.0,232,371,62.5,5068,1419,0.7,21,25,18,14,75,474,5,41,183,253,28,18,5,27.8,10,55.6,236,1037,429,16,5,314
Ezequiel Ávila,ARG,FW,Betis,La Liga,29,1994,6,4,298,3.3,1,0,1,1,0,0,4,1,0.7,0.7,0.1,0.8,0.3,0.0,0.3,0.22,0.02,0.24,0.22,0.24,9,3,33.3,2.72,0.91,21.9,0.08,0.3,55,91,60.4,914,180,-0.1,2,2,2,7,31,125,4,9,47,69,10,4,2,50.0,1,25.0,89,478,184,4,1,106
Fábio Silva,POR,FW,Wolves,Premier League,21,2002,8,3,264,2.9,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.2,0.0,0.0,0.0,0.35,0.07,0.42,0.35,0.42,7,3,42.9,2.39,1.02,13.8,0.15,-1.0,61,76,80.3,779,174,-0.2,4,7,0,5,13,118,4,24,55,44,12,8,2,25.0,5,62.5,66,437,186,5,1,69
Fabio Torsiello,ITA,"FW,DF",Darmstadt 98,Bundesliga,18,2005,10,1,156,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,4,0,0.0,2.31,0.0,16.7,0.07,-0.3,21,27,77.8,367,173,0.0,0,2,2,2,8,48,1,5,23,20,3,3,1,33.3,2,66.7,28,152,68,0,0,32
Facundo Buonanotte,ARG,"FW,MF",Brighton,Premier League,18,2004,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,0.2,0.07,0.26,0.16,0.12,0.28,0.16,0.28,21,8,38.1,1.39,0.53,16.8,0.11,0.6,404,478,84.5,5038,1028,-0.8,18,26,14,23,69,673,21,91,316,277,35,52,18,34.6,28,53.8,421,2342,898,25,8,480
Facundo Pellistri,URU,"FW,MF",Manchester Utd,Premier League,21,2001,9,1,172,1.9,0,1,1,0,0,0,0,0,0.7,0.7,0.1,0.8,0.0,0.52,0.52,0.38,0.05,0.43,0.38,0.43,4,2,50.0,2.09,1.05,11.5,0.18,-0.7,60,79,75.9,675,146,0.9,1,4,2,6,31,117,5,23,37,58,13,11,5,45.5,4,36.4,74,482,185,7,4,79
Famara Diedhiou,SEN,"FW,MF",Granada,La Liga,30,1992,8,0,89,1.0,0,1,1,0,0,0,1,0,0.5,0.5,0.2,0.7,0.0,1.01,1.01,0.5,0.21,0.71,0.5,0.71,5,3,60.0,5.06,3.03,18.1,0.1,-0.5,20,41,48.8,278,22,0.8,1,0,0,5,19,68,5,7,20,41,10,5,4,80.0,1,20.0,40,241,99,3,2,53
Fares Chaïbi,ALG,"FW,MF",Toulouse,Ligue 1,20,2002,2,0,58,0.6,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0.0,1.55,1.55,0.0,0.29,0.29,0.0,0.29,0,0,,0.0,0.0,,,0.0,28,40,70.0,472,135,0.8,2,3,2,2,12,50,1,4,23,23,0,2,0,0.0,2,100.0,40,214,91,1,0,39
Farés Ghedjemis,FRA,"FW,MF",Frosinone,Serie A,20,2002,6,1,182,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,3,2,66.7,1.48,0.99,17.5,0.04,-0.1,48,61,78.7,638,71,-0.1,2,1,2,7,19,84,2,14,29,44,11,7,2,28.6,5,71.4,47,360,119,2,5,59
Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,26,14,1282,14.2,4,0,4,4,0,0,4,0,3.0,3.0,0.6,3.6,0.28,0.0,0.28,0.21,0.04,0.26,0.21,0.26,33,11,33.3,2.32,0.77,14.5,0.09,1.0,196,305,64.3,3211,831,-0.6,14,14,7,51,95,522,14,77,210,243,51,70,24,34.3,38,54.3,312,2561,1191,23,18,344
Faris Pemi Moumbagna,CMR,FW,Marseille,Ligue 1,23,2000,13,5,547,6.1,3,1,4,3,0,0,2,1,1.7,1.7,1.1,2.8,0.49,0.16,0.66,0.28,0.18,0.47,0.28,0.47,16,5,31.3,2.63,0.82,13.9,0.11,1.3,74,107,69.2,1071,269,-0.1,4,3,4,6,32,168,1,6,75,88,37,7,1,14.3,6,85.7,123,506,165,4,4,125
Federico Bonazzoli,ITA,"FW,MF",Hellas Verona,Serie A,26,1997,24,10,1016,11.3,3,1,4,3,0,0,2,0,2.9,2.9,1.1,4.0,0.27,0.09,0.35,0.25,0.1,0.35,0.25,0.35,27,13,48.1,2.39,1.15,18.6,0.11,0.1,242,314,77.1,4025,534,-0.1,8,21,7,13,73,410,2,20,216,178,41,12,6,50.0,5,41.7,262,1299,371,10,3,317
Federico Chiesa,ITA,FW,Juventus,Serie A,25,1997,33,25,2197,24.4,9,2,11,8,1,1,1,0,6.4,5.6,6.2,11.9,0.37,0.08,0.45,0.26,0.25,0.52,0.23,0.49,74,25,33.8,3.03,1.02,19.2,0.08,2.6,498,712,69.9,7884,2466,-4.2,54,42,45,111,216,1006,6,77,303,643,130,95,35,36.8,48,50.5,643,4746,2697,56,58,740
Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,29,1994,2,0,15,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,6.0,0.0,6.0,0.53,0.0,0.53,0.53,0.53,2,1,50.0,12.0,6.0,31.9,0.04,0.9,6,8,75.0,90,43,0.0,0,1,0,1,3,15,0,2,8,5,3,1,0,0.0,1,100.0,9,65,18,0,0,9
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,38,33,2770,30.8,5,6,11,5,0,0,3,0,4.4,4.4,6.3,10.7,0.16,0.19,0.36,0.14,0.21,0.35,0.14,0.35,43,11,25.6,1.4,0.36,17.3,0.1,0.6,1012,1336,75.7,14375,3827,-0.3,42,66,50,108,226,1756,43,252,792,742,93,107,43,40.2,54,50.5,897,5493,2896,62,26,1304
Ferrán Torres,ESP,FW,Barcelona,La Liga,23,2000,29,12,1211,13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,0.52,0.15,0.67,0.41,0.2,0.61,0.41,0.61,38,15,39.5,2.82,1.11,16.6,0.15,1.5,351,450,78.0,5339,1196,-0.7,26,26,22,30,113,583,6,42,237,309,56,24,10,41.7,11,45.8,338,1744,789,21,15,468
