Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PSxG,PSxG/SoT,PSxG+/-,Opp,Stp,Stp%
Thomas Strakosha,,GK,Brentford,Premier League,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0.0,1.5,0.2,-0.5,37,2,5.4
Tomáš Koubek,,GK,Augsburg,Bundesliga,30,1992,3,3,270,3.0,8,2.67,25,17,68.0,0,0.0,6.7,0.29,-1.3,36,2,5.6
Tommaso Martinelli,,GK,Fiorentina,Serie A,17,2006,1,1,90,1.0,2,2.0,3,1,33.3,0,0.0,1.4,0.45,-0.6,14,0,0.0
Unai Marrero,,GK,Real Sociedad,La Liga,21,2001,2,1,142,1.6,3,1.9,5,2,60.0,0,0.0,2.9,0.37,-0.1,27,1,3.7
Unai Simón,,GK,Athletic Club,La Liga,26,1997,36,36,3182,35.4,33,0.93,122,90,73.8,16,44.4,38.0,0.28,9.0,450,31,6.9
Vanja Milinković-Savić,,GK,Torino,Serie A,26,1997,36,36,3240,36.0,31,0.86,134,103,81.3,18,50.0,33.8,0.21,2.8,407,38,9.3
Vicente Guaita,,GK,Celta Vigo,La Liga,36,1987,27,26,2403,26.7,39,1.46,120,83,70.8,6,23.1,39.7,0.31,2.7,420,23,5.5
Vincenzo Fiorillo,,GK,Salernitana,Serie A,33,1990,4,4,360,4.0,8,2.0,26,18,69.2,0,0.0,7.3,0.28,-0.7,77,4,5.2
Vito Mannone,,GK,Lille,Ligue 1,35,1988,2,1,91,1.0,2,1.98,5,3,60.0,0,0.0,1.7,0.35,-0.3,11,2,18.2
Wes Foderingham,,GK,Sheffield Utd,Premier League,32,1991,30,29,2649,29.4,79,2.68,204,130,63.7,1,3.4,70.5,0.33,-3.5,468,28,6.0
Wladimiro Falcone,,GK,Lecce,Serie A,28,1995,38,38,3420,38.0,54,1.42,173,119,71.7,7,18.4,53.2,0.28,0.2,522,20,3.8
Wojciech Szczęsny,,GK,Juventus,Serie A,33,1990,35,35,3150,35.0,30,0.86,108,79,74.1,15,42.9,28.3,0.24,0.3,555,26,4.7
Yann Sommer,,GK,Inter,Serie A,34,1988,34,34,3060,34.0,19,0.56,98,78,82.7,19,55.9,25.5,0.23,6.5,395,18,4.6
Yassine Bounou,,GK,Sevilla,La Liga,32,1991,1,1,90,1.0,2,2.0,3,1,33.3,0,0.0,1.1,0.37,-0.9,9,0,0.0
Yehvann Diouf,,GK,Reims,Ligue 1,23,1999,34,34,3060,34.0,47,1.38,137,90,70.1,8,23.5,42.7,0.27,-3.3,522,38,7.3
Yvon Mvogo,,GK,Lorient,Ligue 1,29,1994,34,34,3060,34.0,66,1.94,207,142,72.0,4,11.8,63.1,0.27,-1.9,591,24,4.1
